district,state,healthcare_priority_score,priority_level,government_recommendation
MEERUT,UTTAR PRADESH,24.75644658209957,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
GONDA,UTTAR PRADESH,31.879463644399035,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
SITAMARHI,BIHAR,38.81296907719876,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
RAE BARELI,UTTAR PRADESH,29.664688982862565,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
PRAKASAM,ANDHRA PRADESH,40.03075370707928,Medium,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
NANDED,MAHARASHTRA,29.372119756837805,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
DURG,CHHATTISGARH,25.36341030440095,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
SIWAN,BIHAR,29.38727669217638,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
NAGAUR,RAJASTHAN,25.17694937001705,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
THIRUVANANTHAPURAM,KERALA,32.37923121773195,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
ERNAKULAM,KERALA,32.957123569062226,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
